id,question,text
1570381660,Bảng Anh là gì,"Bảng Anh ( ký hiệu £ , mã ISO : GBP ) tức Anh kim là đơn vị tiền tệ chính thức của Vương quốc Anh và các lãnh thổ hải ngoại , thuộc địa ."
1570381646,Tôn Trung Sơn là ai,"Tôn Trung Sơn, nguyên danh là Tôn Văn, tự Tải Chi, hiệu Nhật Tân, Dật Tiên là nhà cách mạng Trung Quốc, người đóng vai trò quan trọng trong cuộc Cách mạng Tân Hợi năm 1911 lật đổ triều đại Mãn Thanh và khai sinh ra Trung Hoa Dân Quốc."
1570381541,Bức tranh Mona Lisa hiện đang được trưng bày ở đâu,"Bức hoạ Mona Lisa hiện được treo tại Bảo tàng Louvre ở Paris , Pháp . Danh tiếng ngày càng tăng của bức hoạ còn lớn thêm khi nó bị ăn trộm ngày 21 tháng 8 năm 1911 . Ngày hôm sau , Louis Béroud , một hoạ sĩ , đi vào Louvre và vào Salon Carré nơi bức tranh "" Mona Lisa "" đã được trưng bày trong năm năm ."
1570381440,Công Phượng sinh ở đâu,"Nguyễn Công Phượng ( sinh ngày 21 tháng 1 năm 1995 tại Mỹ Sơn , Đô Lương , Nghệ An ) là một cầu thủ bóng đá chuyên nghiệp người Việt Nam hiện đang thi đấu ở vị trí tiền đạo câu lạc bộ Hoàng Anh Gia Lai tại  V.League 1  và đội tuyển quốc gia Việt Nam ."
1570381425,Sân bay bận rộn thứ hai trên thế giới là sân bay nào,"Sân bay này hiện đang là sân bay bận rộn thứ hai trên thế giới ( sau sân bay quốc tế Hartsfield-Jackson Atlanta ) và là sân bay bận rộn nhất châu Á. Sau khi được nâng cấp để phục vụ cho Thế vận hội Mùa hè 2008 , sân bay hiện có ba nhà ga , trong đó Nhà ga 3 là một trong số các nhà ga sân bay lớn nhất thế giới ."
1570381394,Iran nằm ở khu vực nào,"Iran (tiếng Ba Tư: ایران‎ Irān [ʔiːˈɾɒːn] (nghe)), gọi chính thức là nước Cộng hòa Hồi giáo Iran (tiếng Ba Tư: جمهوری اسلامی ایران‎ Jomhuri-ye Eslāmi-ye Irān Về âm thanh nàyphát âm (trợ giúp·thông tin)),[14] là một quốc gia có chủ quyền tại Tây Á.[15][16] Iran có biên giới về phía tây bắc với Armenia, Azerbaijan, và Cộng hoà Artsakh tự xưng; phía bắc giáp biển Caspi; phía đông bắc giáp Turkmenistan; phía đông giáp Afghanistan và Pakistan; phía nam giáp vịnh Ba Tư và vịnh Oman; còn phía tây giáp Thổ Nhĩ Kỳ và Iraq (Khu vực Kurdistan)"
1570381204,Tên thật của Hàm Nghi là gì,"Hàm Nghi ( chữ Hán : 咸宜 ; 3 tháng 8 năm 1871 – 14 tháng 1 năm 1944 ) , tên thật Nguyễn Phúc Ưng Lịch , là vị Hoàng đế thứ tám của nhà Nguyễn , triều đại phong kiến cuối cùng trong lịch sử Việt Nam ."
1570381193,Chèo là gì,Chèo là loại hình nghệ thuật sân khấu cổ truyền Việt Nam . Chèo phát triển mạnh ở phía bắc Việt Nam với trọng tâm là vùng châu thổ sông Hồng cùng hai khu vực lan toả là trung du miền núi Bắc Bộ và Bắc Trung Bộ .
1570381180,Tự Đức mất năm nào,"Cuối cùng , tới năm 1883 , Tự Đức qua đời , ngay sau đó Pháp tấn công vào kinh đô và ép buộc nhà Nguyễn phải công nhận sự "" bảo hộ "" của Pháp trên toàn Đại Nam . Nhà Nguyễn sau thời Tự Đức chỉ còn là danh nghĩa , thực tế thì đã mất nước vào tay Pháp ."
1570381164,Hậu Giang nằm ở khu vực nào,"Hậu Giang là tỉnh ở trung tâm châu thổ sông Mê Kông , thuộc khu vực nội địa của Đồng bằng Sông Cửu Long . Trước năm 1976 , Hậu Giang là tên gọi của sông Hậu . Vùng đất thuộc tỉnh Hậu Giang ngày nay trước năm 1956 nằm rải rác thuộc tỉnh Cần Thơ và tỉnh Rạch Giá ."
1570381153,Hội An được UNESCO công nhận vào năm nào,"Tại Hội An có Phố cổ Hội An với những di sản kiến trúc đã có từ hàng trăm năm trước , được công nhận là di sản văn hoá của UNESCO từ năm 1999 ."
1570381140,Olympic được tổ chức mấy năm một lần,"Hy Lạp cũng là nơi ra đời Thế vận hội ( Olympic ) đầu tiên vào năm 776 trước Công nguyên và được tổ chức 4 năm một lần , khởi nguồn của Thế vận hội Olympic hiện đại ngày nay ."
1570381107,Tôn giáo chính ở Bangladesh là gì,"Hai tôn giáo chính ở Bangladesh là Hồi giáo ( 88% theo ước tính của Bộ Nội vụ Hoa Kỳ , 2005 ) và Hindu giáo ( 11% theo ước tính của Bộ nội vụ Hoa Kỳ , 2005 ) . Dân tộc Bihari chủ yếu là người Hồi giáo Shia . Các nhóm tôn giáo khác gồm Phật giáo , Thiên chúa giáo và Thuyết duy linh ."
1570381014,Phùng Xuân Nhạ sinh ngày mấy,"Phùng Xuân Nhạ sinh ngày 3 tháng 6 năm 1963 tại xã Tống Phan , huyện Phù Cừ , tỉnh Hưng Yên . Ông là một giáo sư , tiến sĩ ngành Kinh tế , chủ tịch Hội đồng Chức danh giáo sư nhà nước , và là một chính khách Việt Nam ."
1570380938,Đại Việt sử ký toàn thư của Ngô Sĩ Liên gồm bao nhiêu quyển,"Sau đó , nhà sử học Ngô Sĩ Liên dựa trên các tác phẩm của Lê Văn Hưu và Phan Phu Tiên để biên soạn bộ "" Đại Việt sử ký toàn thư "" bao gồm 15 quyển được hoàn thành năm 1479 ."
1570380924,Giáo hoàng là ai,"Giáo hoàng là vị giám mục của Giáo phận Rôma, lãnh đạo của Giáo hội Công giáo toàn thế giới. Theo quan điểm của Giáo hội Công giáo, giáo hoàng là người kế vị Thánh Phêrô - tông đồ trưởng của Chúa Giêsu, với vai trò là người giữ chìa khóa thiên đàng, là ""tảng đá"" để xây dựng nên giáo hội."
1570380887,ppm là đơn vị đo gì,"Trong khoa đo lường, ppm là đơn vị đo mật độ thường dành cho các mật độ tương đối thấp. Nó thường chỉ tỷ lệ của lượng một chất trong tổng số lượng của hỗn hợp chứa chất đó. Ở đây lượng có thể hiểu là khối lượng, thể tích, số hạt (số mol),... ... Chữ ppm xuất phát từ tiếng Anh parts per million nghĩa là một phần triệu."
1570380816,México được công nhận độc lập năm nào,"Bắt đầu từ thế kỷ XVI , México bị thực dân Tây Ban Nha đô hộ và đến năm 1810 thì tuyên bố độc lập và chính thức được công nhận vào năm 1821 . México hiện nay là quốc gia Mỹ Latinh duy nhất nằm trong Tổ chức Hợp tác và Phát triển Kinh tế ."
1570380714,Phan Chu Trinh là ai,"Phan Châu Trinh ( còn được gọi Phan Chu Trinh ; 1872 – 1926 ) , hiệu là Tây Hồ , Hy Mã , tự là Tử Cán . Ông là nhà thơ , nhà văn , và là nhà hoạt động chính trị thời cận đại trong lịch sử Việt Nam ."
1570380703,Hồ Ngọc Hà từng là đại sứ quảng bá cho những thương hiệu nào,"Hồ Ngọc Hà còn là đại sứ quảng bá cho các nhãn hàng như Sunplay , Toshiba , Sony Ericsson , Sunsilk ... và là đại sứ cho kênh truyền hình âm nhạc YanTV ."
1570380688,Đại Việt sử ký toàn thư xuất bản lần đầu năm nào,"Và cuối cùng , sau hàng thế kỉ ngóng đợi , bộ quốc sử "" Đại Việt sử ký toàn thư "" đã được in toàn bộ và ban bố phát hành đầy đủ vào năm Đinh Sửu , niên hiệu Chính Hoà thứ 18 , tức là năm 1697 đời vua Lê Hy Tông ."
1570380588,Thiên hoàng Minh Trị sinh năm nào,"Thiên hoàng Minh Trị (明治天皇 Meiji-tennō?, 3 tháng 11, 1852 - 30 tháng 7, 1912) là vị Thiên hoàng thứ 122 của Nhật Bản theo Danh sách Thiên hoàng truyền thống, trị vì từ ngày 3 tháng 2 năm 1867 tới khi qua đời. Ông được coi là một vị minh quân có công lớn nhất trong lịch sử Nhật Bản, đã canh tân và đưa Nhật Bản trở thành một quốc gia hiện đại, thoát khỏi nguy cơ trở thành thuộc địa của các nước đế quốc phương Tây giữa lúc chủ nghĩa thực dân đang phát triển mạnh."
1570380509,Hồ Tây trước đây còn có những tên gọi gì,"Hồ Tây trước đây còn có các tên gọi khác như Đầm Xác Cáo , Hồ Kim Ngưu , Lãng Bạc , Dâm Đàm , Đoài Hồ , là một hồ nước tự nhiên lớn nhất ở nội thành Hà Nội . Hồ có diện tích hơn 500 ha với chu vi là 14,8 km . Hồ nằm ở vị trí phía tây bắc trung tâm Hà Nội ."
1570380477,Yoona là ai,"Im Yoon-ah ( Hangul : 임윤아 , Hanja : 林允儿 , Hán-Việt : Lâm Duẫn Nhi , sinh ngày 30 tháng 5 năm 1990 ) , thường được biết đến với nghệ danh Yoona , là một nữ ca sĩ và diễn viên người Hàn Quốc , thành viên nhóm nhạc nữ [ [ Girls ' Generation ] 소녀시대 ] . Cô đã tham gia diễn xuất trong một số bộ phim truyền hình như "" You Are My Destiny "" ( 2008 ) , "" Cinderella Man "" ( 2009 ) , "" [ [ Love Rain ] ] "" ( 2012 ) , "" [ [ Prime Minister and I ] ] "" ( 2013 ) , "" [ [ Võ Thần Triệu Tử Long ] ] "" ( 2016 ) , "" [ [ The K 2 ] ] "" ( 2016 ) và "" [ [ The King Loves ] ] "" ( 2017 ) ."
1570380466,Hồ Ngọc Hà giành giải Nữ ca sĩ được yêu thích nhất vào năm nào,"Năm 2012 , cô nhận được giải HTV Award cho "" Nữ ca sĩ được yêu thích nhất "" . Sản phẩm tiếp theo của cô là DVD Hồ Ngọc Hà Live Concert . Liveshow xuất sắc nhận được giải Cống hiến cho "" Chương trình của năm "" ."
1570380447,Trường Hogwarts đào tạo gì,"Trường Hogwarts là trường đào tạo phù thuỷ trong bộ tiểu thuyết giả tưởng Harry Potter của tác giả J. K. Rowling . Trong trường có nhiều giáo sư , mỗi giáo sư giảng dạy một hoặc một số môn học khác nhau ( nhưng phần lớn ai cũng dạy được tất cả các môn ) ."
1570380291,Phần Lan giáp với những nước nào,"Phần Lan ( tiếng Phần Lan : "" Suomi "" ) , tên chính thức là Cộng hoà Phần Lan ( tiếng Phần Lan : "" Suomen tasavalta "" , tiếng Thuỵ Điển : "" Republiken Finland "" ) , là một quốc gia thuộc khu vực Bắc Âu . Phần Lan giáp với Thuỵ Điển về phía tây , Nga về phía đông , Na Uy về phía bắc và Estonia về phía nam qua Vịnh Phần Lan ."
1570380278,Ai là hoàng đế thứ 10 của triều Nguyễn,"Thành Thái ( chữ Hán : 成泰 , 14 tháng 3 năm 1879 – 20 tháng 3 năm 1954 ) , tên khai sinh là Nguyễn Phúc Bửu Lân , là vị Hoàng đế thứ 10 của triều đại Nhà Nguyễn , tại vị từ 1889 đến 1907 ."
1570380204,Thành Thái sinh năm mấy,"Thành Thái tên thật là Nguyễn Phúc Bửu Lân , khi lên ngôi đổi thành Nguyễn Phúc Chiêu . Ông là con thứ 7 của vua Dục Đức và bà Phan Thị Điều , sinh ngày 22 tháng 2 năm Kỷ Mão , tức 14 tháng 3 năm 1879 tại Huế ."
1570380189,Quốc gia nào rộng thứ nhì Trung Đông,"Iran có dân số trên 79,92 triệu người tính đến năm 2017 , là quốc gia đông dân thứ 18 trên thế giới . Lãnh thổ Iran rộng 1.648.195  km2 , là quốc gia rộng thứ nhì tại Trung Đông và đứng thứ 17 thế giới . Iran có vị thế địa chính trị quan trọng do nằm tại phần trung tâm của đại lục Á-Âu và gần với eo biển Hormuz ."
1570380139,Tây Thi là ai,"Tây Thi , còn gọi là Tây Tử , là một đại mỹ nhân trứ danh thời kì Xuân Thu , đứng đầu trong Tứ đại mỹ nhân của lịch sử Trung Quốc . Tương truyền , Tây Thi có nhan sắc làm cá phải ngừng bơi mà lặn xuống đáy nước , gọi là Trầm ngư ."
1570380093,Mỗi năm có mấy ngày thứ 6 ngày 13,"Mỗi năm có từ 1 đến 3 ngày thứ 6 ngày 13 . Năm 2018 có 2 ngày thứ 6 ngày 13 vào tháng 4 và tháng 7 . Sẽ có hai thứ sáu ngày 13 hàng năm cho đến năm 2020 , nhưng 2021 và 2022 sẽ chỉ có một ngày thứ 6 ngày 13 , tương ứng trong tháng 8 và tháng 5 ."
1570379838,Dân số của Bangladesh đứng thứ mấy trên thế giới,"Ước tính dân số gần đây trong khoảng từ 142 đến 147 triệu người , làm cho Bangladesh đứng trong nhóm 10 nước đông dân nhất thế giới . Với số dân tương tự như Nga nhưng có diện tích chỉ 144.000 kilômét vuông , khiến nước này có mật độ dân số rất lớn ."
1570379818,Phạm Băng Băng là ai,"Phạm Băng Băng ( sinh ngày 16 tháng 9 năm 1981 ) là nữ diễn viên , ca sĩ , người mẫu , nhà sản xuất phim người Trung Quốc ."
1570379807,Đông trùng hạ thảo là gì,"Đông trùng hạ thảo là một loại đông dược quý có bản chất là dạng ký sinh của loài nấm Ophiocordyceps sinensis thuộc nhóm nấm Ascomycetes trên cơ thể ấu trùng của một vài loài bướm trong chi "" Thitarodes "" ( trước đây phân loại trong chi "" Hepialus "" ) ."
1570379795,Hiệp định đối tác xuyên Thái Bình Dương được ký kết ở đâu,"Hiệp định Đối tác xuyên Thái Bình Dương ( tiếng Anh : "" Trans-Pacific Partnership Agreement "" - viết tắt TPP ) là một hiệp đinh / thoả thuận thương mại tự do được ký kết giữa 12 nước vào ngày 4 tháng 2 năm 2016 tại Auckland , New Zealand sau 5 năm đàm phán với mục đích hội nhập các nền kinh tế thuộc khu vực châu Á-Thái Bình Dương ."
1570379692,Dầu mỏ có màu gì,"Dầu mỏ hay dầu thô là một chất lỏng sánh đặc màu nâu hoặc ngả lục . Dầu mỏ tồn tại trong các lớp đất đá tại một số nơi trong vỏ Trái Đất . Dầu mỏ là một hỗn hợp hoá chất hữu cơ ở thể lỏng đậm đặc , phần lớn là những hợp chất của hydrocarbon , thuộc gốc alkane , thành phần rất đa dạng ."
1570379678,Trần Thủ Độ mất năm nào,"Năm 1264 , mùa xuân , tháng Giêng , Thái sư Trần Thủ Độ qua đời , thọ 71 tuổi . Ông được Trần Thái Tông truy tặng thuỵ hiệu là Thượng phụ Thái sư Trung Vũ đại vương ."
1570379663,Nền kinh tế México lớn thứ mấy trên thế giới,México hiện nay là quốc gia Mỹ Latinh duy nhất nằm trong Tổ chức Hợp tác và Phát triển Kinh tế . México hiện là nền kinh tế lớn thứ 11 trên thế giới và có thu nhập bình quân đầu người thuộc nhóm trung bình cao .
1570379593,Tiết đông chí là ngày nào,"Theo quy ước , tiết đông chí là khoảng thời gian bắt đầu từ khoảng ngày 21 hay 22 tháng 12 khi kết thúc tiết đại tuyết và kết thúc vào khoảng ngày 5 hay 6 tháng một trong lịch Gregory theo các múi giờ Đông Á khi tiết tiểu hàn bắt đầu ."
1570379572,Hy Lạp giáp với những nước nào,"Hy Lạp ( hay Ελλάς , chuyển tự "" Ellas "" ) , tên chính thức là Cộng hoà Hy Lạp , là một quốc gia thuộc khu vực châu Âu , nằm phía nam bán đảo Balkan . Hy Lạp giáp với các nước Albania , Cộng hoà Macedonia và Bulgaria về phía bắc , giáp với Thổ Nhĩ Kỳ về phía đông ."
1570379240,Khí clo có màu gì,"Ở dạng nguyên tố , clo có dạng khí ( ở điều kiện tiêu chuẩn ) nhị nguyên tử ( phân tử ) có màu vàng lục nhạt ."
1570379048,John Cena có bao nhiêu lần giữ đai WWE Championship,"John Cena tên khai sinh là John Felix Anthony Cena Jr . ( sinh ngày 23 tháng 4 năm 1977 ) , là đô vật chuyên nghiệp , ca sĩ nhạc hip hop , diễn viên người Mỹ biểu diễn cho SmackDown của WWE . Anh là nhà cựu vô địch WWE với kỷ lục 16 lần giữ đai WWE Championship ."
1570379025,Tỉnh lỵ của Hậu Giang là gì,"Hậu Giang là một tỉnh ở đồng bằng sông Cửu Long , được thành lập vào năm 2004 do tách ra từ tỉnh Cần Thơ cũ . Tỉnh lỵ hiện nay là thành phố Vị Thanh cách Thành phố Hồ Chí Minh 240  km về phía tây nam , cách thành phố Cần Thơ 60  km theo Quốc lộ 61 và chỉ cách 40  km theo đường nối Vị Thanh – thành phố Cần Thơ"
1570378929,RAM viết tắt của từ gì,"RAM ( viết tắt từ Random Access Memory trong tiếng Anh ) là một loại bộ nhớ khả biến cho phép truy xuất đọc-ghi ngẫu nhiên đến bất kỳ vị trí nào trong bộ nhớ dựa theo địa chỉ ô nhớ . Thông tin lưu trên RAM chỉ là tạm thời , chúng sẽ mất đi khi mất nguồn điện cung cấp ."
1570378598,Hiệp định đối tác xuyên Thái Bình Dương được ký kết vào ngày nào,"Hiệp định Đối tác xuyên Thái Bình Dương ( tiếng Anh : "" Trans-Pacific Partnership Agreement "" - viết tắt TPP ) là một hiệp đinh / thoả thuận thương mại tự do được ký kết giữa 12 nước vào ngày 4 tháng 2 năm 2016 tại Auckland , New Zealand sau 5 năm đàm phán với mục đích hội nhập các nền kinh tế thuộc khu vực châu Á-Thái Bình Dương ."
1570378372,Sơn La nằm ở đâu,"Nằm cách Hà Nội 320  km trên trục Quốc lộ 6 Hà Nội - Sơn La - Điện Biên , Sơn La là một tỉnh nằm sâu trong nội địa . Tỉnh này có 3 cửa khẩu với Lào là Chiềng Khương và cửa khẩu quốc tế Pa Háng , cửa khẩu quốc gia Nà Cài ."
1570378355,Dân số Phần Lan năm 2015 là bao nhiêu,"Phần Lan là một trong những quốc gia dân cư thưa thớt nhất châu Âu. Theo số liệu tháng 8 năm 2015, dân số Phần Lan là 5 489 101người"
1570377709,Trần Thái Tông sinh năm mấy,"Trần Thái Tông ( chữ Hán : 陳太宗 ; 9 tháng 7 năm 1218 – 5 tháng 5 năm 1277 ) , tên khai sinh : Trần Cảnh , là vị hoàng đế đầu tiên của hoàng triều Trần nước Đại Việt . Ông ở ngôi từ năm 1225 tới năm 1258 , sau đó làm Thái thượng hoàng cho đến khi qua đời ."
1570377628,Thang điểm hôn mê Glasgow dùng để làm gì,"Thang điểm hôn mê Glasgow ( tiếng Anh : "" Glasgow Coma Scale "" ) là một phương pháp đánh giá tình trạng ý thức của người bệnh một cách lượng hoá . Được thiết lập để lượng giá độ hôn mê của nạn nhân bị chấn thương đầu , hiện nay người ta còn dùng thang điểm Glasgow trong những trường hợp bệnh lý khác ."
1570376950,Glucose còn gọi là gì,"Tên "" glucose "" đến từ ngôn ngữ Hy Lạp , chữ "" glu "" nghĩa là rượu nho ngọt , nước nho ; còn đuôi "" ose "" nhằm thể hiện sự phân loại chất trong hoá học ( đuôi "" ose "" biểu thị cho các chất cacbohydrat ) . Nó là đường hexose do cấu trúc phân tử mang 6 cacbon . Glucose có cấu tạo phân tử : CHO có 2 dạng là mạch vòng và mạch hở ."
1570376920,Thế vận hội mùa đông bắt đầu từ năm nào,"Thế vận hội mùa đông lần đầu được tổ chức như một cuộc thi riêng biệt vào năm 1924 tại Chanix-Mont-Blanc , Pháp.Từ thời điểm đó đến năm 1992 , thế vận hội mùa đông được tổ chức trong cùng năm với thế vận hội mùa hè nhưng bắt đầu từ thế vận hội mùa đông Lillehammer , Na Uy năm 1994 , thế vận hội mùa đông được thay đổi lịch tổ chức sao cho cả hai thế vận hội mùa đông và mùa hè diễn ra xen kẽ nhau , nghĩa là nếu thế vận hội mùa hè tổ chức vào năm 1992 thì thế vận hội mùa đông sẽ tổ chức vào năm 1994 và lần kế tiếp của thế vận hội mùa đông là 1998 trong khi thế vận hội mùa hè là năm 1996 ."
1570376844,Hồ Ngọc Hà sinh ngày bao nhiêu,"Hồ Ngọc Hà tên khai sinh là Hồ Thị Ngọc Hà ( sinh ngày 25 tháng 11 năm 1984 ) là nữ ca sĩ , diễn viên , người mẫu thời trang người Việt Nam . Hồ Ngọc Hà bắt đầu sự nghiệp người mẫu từ năm 15 tuổi với chiều cao 1m72 và đạt nhiều giải thưởng ."
1570376833,Album đầu tay của Adele được phát hành năm nào,"19 là album đầu tay của nữ ca sĩ-người viết bài hát người Anh Adele . Nó được phát hành vào ngày 28 tháng 1 năm 2008 , một tuần sau khi đĩa đơn chủ đạo "" Chasing Pavements "" ra mắt ."
1570376249,Ca sĩ Thu Phương sinh ra ở đâu,"Thu Phương , tên khai sinh Nguyễn Thị Thu Phương ( sinh ngày 9 tháng 10 năm 1972 tại Hải Phòng ) , là một nữ ca sĩ nhạc nhẹ Việt Nam ."
1570376227,Tên thật của Đinh Đức Thiện là gì,"Đinh Đức Thiện , tên thật là : Phan Đình Dinh ( sinh ngày 15 - 11 - 1914 – mất ngày 21 - 12 - 1986 ) là một trong những người lãnh đạo chủ chốt trong việc xây dựng đường mòn Hồ Chí Minh huyền thoại trong Chiến tranh Việt Nam ; nguyên Uỷ viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam , Bộ trưởng Bộ Cơ khí Luyện kim , Bộ trưởng Bộ Giao thông Vận tải ( Việt Nam ) , Thượng tướng Quân đội Nhân dân Việt Nam ."
1570376207,Logarit tự nhiên do ai nghĩ ra,Logarit tự nhiên ( còn gọi là logarit Nêpe ) là logarit cơ số e do nhà toán học John Napier sáng tạo ra .
1570376079,Hồ Ngọc Hà cao bao nhiêu,"Hồ Ngọc Hà tên khai sinh là Hồ Thị Ngọc Hà ( sinh ngày 25 tháng 11 năm 1984 ) là nữ ca sĩ , diễn viên , người mẫu thời trang người Việt Nam . Hồ Ngọc Hà bắt đầu sự nghiệp người mẫu từ năm 15 tuổi với chiều cao 1m72 và đạt nhiều giải thưởng ."
1570376062,Ước tính thế giới tiêu thụ dầu mỏ bao nhiêu mỗi ngày,"Dầu mỏ được sử dụng trong sản xuất nhiều loại vật liệu , và người ta ước tính rằng thế giới tiêu thụ khoảng 95 triệu thùng mỗi ngày ."
1570375456,Tên đầy đủ của Hy Lạp là gì,"Hy Lạp ( hay Ελλάς , chuyển tự "" Ellas "" ) , tên chính thức là Cộng hoà Hy Lạp , là một quốc gia thuộc khu vực châu Âu , nằm phía nam bán đảo Balkan . Hy Lạp giáp với các nước Albania , Cộng hoà Macedonia và Bulgaria về phía bắc , giáp với Thổ Nhĩ Kỳ về phía đông ."
1570375367,Yoona sinh ngày mấy,"Im Yoon-ah ( Hangul : 임윤아 , Hanja : 林允儿 , Hán-Việt : Lâm Duẫn Nhi , sinh ngày 30 tháng 5 năm 1990 ) , thường được biết đến với nghệ danh Yoona , là một nữ ca sĩ và diễn viên người Hàn Quốc , thành viên nhóm nhạc nữ [ [ Girls ' Generation ] 소녀시대 ] . Cô đã tham gia diễn xuất trong một số bộ phim truyền hình như "" You Are My Destiny "" ( 2008 ) , "" Cinderella Man "" ( 2009 ) , "" [ [ Love Rain ] ] "" ( 2012 ) , "" [ [ Prime Minister and I ] ] "" ( 2013 ) , "" [ [ Võ Thần Triệu Tử Long ] ] "" ( 2016 ) , "" [ [ The K 2 ] ] "" ( 2016 ) và "" [ [ The King Loves ] ] "" ( 2017 ) ."
